date,price,volume
2020-03-15,10.150773522,271429990.3237325
2020-03-14,10.925390797,366010013.1416503
2020-03-13,9.285273441,612914006.2606412
2020-03-12,16.539789543,362175329.9338319
2020-03-11,16.859083408,293469736.33311963
2020-03-10,16.609375278,335930907.5247924
2020-03-09,16.954142965,384458417.57203805
2020-03-08,20.236759259,324326337.7195285
2020-03-07,21.333020957,338458304.6101346
2020-03-06,20.751629384,376773986.9415081
2020-03-05,19.940221523,356548264.4133547
2020-03-04,19.663875129,329384976.8883955
2020-03-03,19.858000112,380913587.7159739
2020-03-02,18.952885483,369684783.85190845
2020-03-01,19.394326229,469997498.2081937
2020-02-29,19.156438821,483801997.9447875
2020-02-28,19.114514086,400931823.5339129
2020-02-27,18.267868185,399165456.60546285
2020-02-26,20.376030754,384519219.5573984
2020-02-25,22.093271897,334729908.6218656
2020-02-24,22.875605533,385156794.84253657
2020-02-23,21.978467564,347076059.76570475
2020-02-22,22.161115693,338477254.4380386
2020-02-21,22.093675969,340645292.22570163
2020-02-20,22.408881627,337048373.5047427
2020-02-19,24.06260071,349690468.1587366
2020-02-18,23.42461391,429320687.7904249
2020-02-17,23.422526957,496636578.08950955
2020-02-16,24.227366934,485261313.0210194
2020-02-15,26.296749531,489315052.0855129
2020-02-14,25.45296427,446408417.53386855
2020-02-13,26.38784194,533445753.65450275
2020-02-12,25.683705624,528581487.51126754
2020-02-11,25.181563713,632796981.0007308
2020-02-10,24.310340765,656205569.9928707
2020-02-09,21.793862817,437563419.7543316
2020-02-08,22.19021225,444994518.83796287
2020-02-07,20.650909146,474415136.46014655
2020-02-06,19.245173697,359930505.3001077
2020-02-05,18.167364667,286216094.042067
2020-02-04,18.468768589,238112734.61079422
2020-02-03,18.432261945,274349781.7639081
2020-02-02,18.240988924,267060650.11272806
2020-02-01,18.208388129,255519591.5772945
2020-01-31,18.554831247,292362137.42841154
2020-01-30,17.895747779,246374688.31225872
2020-01-29,18.049990198,262160280.08584982
2020-01-28,17.655823877,256100016.65143728
2020-01-27,17.456971751,253383838.39348787
2020-01-26,16.90367643,224994011.60525173
2020-01-25,17.049788403,226795061.87564644
2020-01-24,17.043624158,232786066.8266088
